included_for_analysis,start_date,progress,duration,finished,informed_consent,fruit_answer,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,control_engagement_1,control_engagement_2,control_description,proximal_engagement_1,proximal_engagement_2,proximal_description,distal_engagement_1,distal_engagement_2,distal_description,concerned,serious_impact,likely,relative_importance,mitigation_intention_1,mitigation_intention_2,mitigation_intention_3,mitigation_intention_4,mitigation_intention_5,mitigation_intention_6,mitigation_intention_7,policy_support_1,policy_support_2,policy_support_3,policy_support_4,PD_1,PD_2,PD_3,PD_4,math,PD_5,PD_6,PD_7,PD_8,efficacy_1,efficacy_2,efficacy_3,efficacy_4,experience,damage_1,damage_2,age,gender,gender_text,race,ethnicity,education,fossil_fuel,zip_code,zip_code_duration,political_party,political_party_text,political_scale,condition
0,3/17/23 11:32,100,234,1,1,5,4,4,5,6,7,7,3,6,3,2,2,3,3,4,5,,,,11,11,e,,,,5,3,7,4,4,3,1,5,4,4,3,5,2,2,3,2,1,5,3,5,3,3,2,3,3,5,5,4,2,,,4,1,,1,2,6,3,76042,2002,4,,3,proximal
2,3/19/23 1:22,100,679,1,1,5,6,5,4,7,5,5,7,7,6,4,7,5,7,4,6,,,,,,,11,10,I would say scientists believe climate change has made bad weather harsher for a lot of land and peoples. ,3,5,6,1,4,3,2,2,3,4,4,3,1,2,3,3,2,3,5,5,2,2,3,5,4,2,3,3,1,3,4,8,2,,1,1,3,3,77502,2013,1,,6,distal
0,3/17/23 11:35,100,250,1,1,5,5,3,7,7,7,7,3,4,7,4,5,5,4,3,5,,,,,,,10,10,"I would say that climate change is getting worse, and this is the result of it.",5,5,4,4,3,4,2,3,4,3,3,3,3,3,2,4,3,4,3,4,3,3,3,3,2,3,4,4,2,,,4,2,,4,2,5,2,76001,2018,1,,4,distal
2,3/28/23 6:38,100,683,1,1,5,7,7,7,7,7,7,7,7,7,4,4,3,3,4,6,,,,,,,12,12,Extreme weather largely due to climate change affecting millions of people worldwide.,7,7,7,7,2,5,2,2,4,2,5,5,4,5,4,1,1,5,5,5,1,1,1,5,4,5,5,5,1,7,5,8,2,,1,2,2,3,77320,2015,3,,4,distal
0,3/17/23 11:33,100,422,1,1,5,5,6,5,7,7,5,7,7,7,6,5,7,5,7,7,,,,,,,10,10,I feel the weather will get good soon ,1,4,7,4,5,4,1,4,4,1,1,3,3,3,3,3,4,1,4,1,4,4,4,1,5,4,4,5,2,,,4,1,,2,2,2,3,75237,2017,3,,4,distal
2,3/14/23 8:59,100,685,1,1,5,7,4,7,7,7,7,7,7,7,1,4,5,2,2,3,,,,,,,12,12,Climate change is causing extreme natural disasters.,7,7,7,7,4,3,1,2,4,1,4,4,3,4,4,1,5,5,5,5,1,4,1,3,4,4,4,5,1,7,5,7,2,,1,2,3,3,77619,2014,1,,6,distal
2,3/27/23 18:52,100,686,1,1,5,7,6,7,7,7,7,7,7,7,5,6,5,6,7,6,,,,,,,12,11,climate change is affecting the world causing catastrophic weather impacts on the entire world and devastating people and lives everywhere ,7,7,7,6,3,3,4,4,2,3,5,4,3,4,3,1,1,5,5,5,1,1,1,5,4,4,4,4,1,5,6,8,2,,1,2,4,3,77703,1962,4,,5,distal
0,3/17/23 11:37,100,528,1,1,5,2,2,2,7,7,2,2,4,7,2,7,7,2,7,1,,,,,,,11,10,I don’t recall ,3,6,7,4,3,3,4,4,3,4,1,3,3,2,2,3,3,3,3,3,3,3,3,2,4,3,2,3,1,7,4,5,2,,2,2,2,3,77703,2005,4,,4,distal
2,3/16/23 11:50,100,687,1,1,5,7,7,7,5,7,7,7,7,6,6,7,5,5,7,7,,,,,,,12,11,We need to take care of our enviroment,6,7,6,6,5,4,3,3,1,1,4,5,3,4,4,1,4,4,5,5,2,3,4,4,4,5,5,5,2,,,6,2,,1,2,2,3,77328,2023,3,,4,distal
0,3/17/23 11:47,100,163,1,1,5,3,4,3,3,4,3,5,4,6,4,4,3,4,4,5,,,,10,10,That climate change is real and dangerous ,,,,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,4,2,3,3,3,3,3,2,3,1,4,4,4,2,,6,1,2,3,77088,1998,3,,4,proximal
2,3/18/23 19:49,100,698,1,1,5,6,6,6,7,7,7,7,7,7,6,7,5,7,7,7,,,,,,,12,12,Climate change has a great impact on the entire world and has cause several phenomenal weather events to happen that have impacted a lot of people all across the world,5,5,6,5,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,4,2,,,5,2,,1,2,2,2,79556,2019,1,,6,distal
2,3/18/23 23:28,100,713,1,1,5,6,6,5,7,7,7,7,7,3,6,3,1,3,5,4,,,,,,,12,11,Cyclones cause heavy rain and widespread devastation.,2,4,3,1,5,2,4,1,4,1,1,5,1,4,1,5,4,3,3,5,4,4,4,4,2,2,3,4,1,3,5,7,2,,1,2,2,3,75751,6,1,,7,distal
0,3/17/23 11:54,100,320,1,1,5,4,5,5,1,5,5,4,4,7,5,5,3,5,6,4,,,,10,10,I don't usually talk to anybody about anything so I wouldn't be describing anything,,,,1,1,1,1,5,5,5,5,5,5,5,3,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,,,10,1,,1,2,3,3,79110,79110,3,,5,proximal
2,3/15/23 9:35,100,732,1,1,5,7,7,6,7,6,6,7,7,7,5,5,5,6,6,6,,,,,,,12,12,climate change is causing devastation to our world,7,7,7,7,3,3,1,3,1,5,5,4,3,4,4,1,1,5,5,5,1,1,1,2,5,5,5,5,2,,,10,2,,1,2,3,2,75040,2011,1,,6,distal
2,3/14/23 10:34,100,743,1,1,5,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,,,,,,,12,12,A very bad thunderstorm struck in our city and destroyed everything so we need to leave now,3,7,2,7,4,5,1,4,3,2,3,1,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,2,,,4,1,,2,2,2,3,77985,2022,5,,4,distal
0,3/17/23 12:55,100,164,1,1,5,2,3,4,4,3,5,6,4,6,4,6,5,1,4,4,12,10,Its good and stuff I like it,,,,,,,6,5,6,5,3,4,4,4,2,4,5,3,4,4,4,3,4,3,4,3,4,2,5,2,2,4,4,3,1,6,4,5,1,,2,2,5,"1,3",90001,90001,3,,5,control
2,3/18/23 14:57,100,763,1,1,5,5,6,5,6,6,7,7,7,5,5,6,3,5,7,6,,,,,,,12,11,Weather events like Cyclone Idai are linked to global warming ,5,5,6,5,5,2,3,4,3,5,2,3,4,4,2,1,1,4,5,5,2,2,1,5,4,4,4,3,1,1,4,6,1,,2,2,5,3,77091,1978,3,,4,distal
0,3/17/23 13:17,100,88,1,1,5,4,5,4,4,4,4,6,4,3,5,4,4,4,4,4,,,,11,11,I would need money.,,,,5,4,5,3,4,3,3,4,3,3,3,4,2,3,2,4,3,3,3,4,3,4,4,4,4,3,4,3,1,4,5,5,1,,1,2,2,3,77373,77373,4,,5,proximal
2,3/14/23 20:49,100,764,1,1,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,,,,,,,12,11,I would say that science can predict certain events.,6,6,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,5,2,2,2,3,3,3,4,4,1,2,5,8,2,,1,2,4,3,78380,2000,3,,4,distal
0,3/17/23 10:53,100,10161,1,1,5,5,4,5,7,5,4,4,3,5,5,5,4,5,5,5,10,10,There’s more climate change now and we as humans should take care of our home to protect it,,,,,,,5,7,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,4,2,,2,2,2,3,75670,2000,3,,4,control
0,3/17/23 15:06,100,190,1,1,5,2,5,6,7,6,5,1,6,5,7,5,5,4,4,6,10,10,Am' not sure.,,,,,,,1,5,4,6,2,4,4,1,2,5,3,4,4,2,3,4,4,5,3,5,4,5,5,1,2,4,3,4,2,,,4,2,,1,1,1,3,77037,2020,3,,3,control
2,3/14/23 9:22,100,771,1,1,5,5,3,5,7,7,6,3,7,7,3,4,4,4,3,5,,,,,,,12,11,That there are reports that suggest that climate change has increased the frequency of severe weather.,6,5,4,4,1,1,1,1,2,1,2,1,4,2,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,,,6,1,,2,2,2,3,77071,1995,3,,4,distal
2,3/16/23 6:15,100,774,1,1,5,5,5,6,6,4,6,6,7,7,2,2,2,4,3,5,,,,,,,12,8,More un-proven propaganda designed to scare people into submission.,1,1,1,1,4,3,1,3,2,3,4,1,4,1,2,3,3,2,3,5,4,3,3,3,1,1,1,1,2,,,8,2,,1,2,4,3,78028,2001,5,American,7,distal
0,3/17/23 17:05,100,140,1,1,5,6,6,4,5,5,6,5,5,6,5,5,5,4,6,5,11,11,Informative ,,,,,,,6,6,5,5,5,4,4,4,3,3,4,3,4,4,3,4,4,5,4,4,4,4,4,4,3,3,5,3,2,,,4,2,,4,2,2,3,77099,My family live here,1,,6,control
0,3/27/23 10:16,100,455,1,1,5,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,,,,,,,12,10,I do not talk to any family members,1,1,1,1,1,1,1,1,1,1,5,4,3,3,1,5,5,1,1,5,5,5,5,2,3,3,3,3,2,,,6,1,,"1,3",1,2,3,79416,2000,3,,4,distal
0,3/17/23 22:33,100,604,1,1,5,7,7,7,7,7,7,7,7,7,5,7,4,5,6,7,,,,,,,10,11,El Niño ,6,6,4,4,2,5,1,3,2,2,5,3,4,4,4,3,3,4,3,3,3,3,3,3,4,3,4,4,1,4,5,7,2,,1,2,4,3,77806,2020,1,,4,distal
0,3/17/23 22:48,100,244,1,1,5,7,7,7,7,7,7,5,6,6,4,6,6,7,5,7,8,9,Shehvashsnshwvvsbsnznzn,,,,,,,7,7,7,7,3,4,4,4,2,1,4,4,4,5,4,3,1,1,4,1,3,4,2,1,2,1,4,2,2,,,4,2,,6,1,1,3,75043,2002,2,,2,control
2,3/27/23 11:26,100,789,1,1,5,6,6,7,7,7,6,5,2,5,3,3,5,7,6,6,,,,,,,11,10,Climate change is an important issue that needs to be addressed.  It is real and is causing problems with our weather patterns that lead to severe injury and death.,7,7,5,6,3,3,3,3,2,3,4,4,3,5,4,1,2,4,5,5,2,1,1,4,4,4,4,4,2,,,9,2,,1,2,6,3,75001,2000,4,,1,distal
2,3/18/23 13:26,100,802,1,1,5,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,,,,,,,12,12,Our Climate change in our world is causing Disaster in our world,7,7,7,7,5,5,5,5,1,1,5,5,5,5,5,5,1,2,5,5,1,1,3,5,3,3,5,3,2,,,7,2,,1,2,2,3,75043,3 years,1,,1,distal
2,3/14/23 8:31,100,803,1,1,5,6,4,6,7,6,7,5,7,6,4,4,5,5,7,6,,,,,,,11,10,This is a informational story about some crazy weather storms that have happened ,6,6,4,5,3,1,1,3,1,1,2,1,3,2,4,2,2,3,4,5,2,1,3,1,5,4,5,5,2,,,4,2,,1,2,4,3,78240,2015,4,,4,distal
0,3/18/23 0:25,100,679,1,1,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,,,,,,,11,11,Nothing ,7,7,4,1,3,3,3,1,1,2,1,1,1,1,1,5,2,3,5,1,5,3,5,3,5,5,5,5,2,,,10,5,,2,2,3,3,79403,2017,4,,5,distal
2,3/18/23 12:58,100,810,1,1,5,7,7,7,7,5,7,7,7,5,4,5,5,5,7,7,,,,,,,12,12,They are about the ever increasing impact of today's climate change,6,7,6,7,3,5,4,5,2,3,5,4,3,5,4,1,4,5,5,5,1,4,2,5,3,5,5,5,2,,,6,2,,1,1,1,3,79549,1985,3,,4,distal
0,3/18/23 0:39,100,584,1,1,5,7,7,7,7,7,7,7,7,7,7,6,5,5,7,5,,,,12,12,As climate change gets worse so does the ecosystem and natural disasters.,,,,7,7,6,6,4,2,3,4,2,2,4,4,2,1,3,3,3,5,4,1,2,4,2,4,5,4,5,5,1,7,7,5,2,,6,1,4,3,77338,2014,3,,4,proximal
2,3/14/23 9:16,100,816,1,1,5,3,5,7,2,1,3,7,7,7,6,6,2,5,5,6,,,,,,,11,8,"The number of weather and climate related deaths and impacts on the economy has fallen consistently for the past 100 years. Despite the fact that humans contribute to a changing climate, it is hubris to take sole credit and ascribe large changes in weather patterns to a few things that seem to be largely out of the control of humanity at large. What we can control, we have the most potential to restore and heal, and focusing on that should be much more idealized. Issues such as pollution, finding solutions to endemic injection of microplastics in every biosphere, and human-caused animal population changes.",2,1,1,1,3,3,1,1,5,5,1,1,4,1,1,1,1,2,4,5,1,1,3,2,4,4,1,2,1,5,7,5,1,,1,1,3,3,78227,2018,3,,5,distal
2,4/2/23 10:19,100,840,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,12,12,More disasters have been happening than before.,7,7,5,6,5,1,1,1,2,1,4,4,3,4,3,2,4,4,5,5,2,4,3,5,5,5,4,5,2,,,9,2,,1,2,2,3,78223,1983,3,,5,distal
2,3/14/23 8:39,100,843,1,1,5,7,5,7,7,6,7,7,7,6,4,6,2,6,6,6,,,,,,,12,12,Climate change is real and causing terrible weather conditions ,7,7,6,7,5,4,1,1,4,3,4,5,4,5,5,1,1,5,5,5,1,1,1,5,5,5,5,5,2,,,8,2,,1,2,3,3,77802,2015,3,,3,distal
2,3/29/23 21:02,100,843,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,11,11,I would say that there has some cyclones in Africa which made it flooded and killing a lot of people I just hope it don't happen here,7,7,4,3,2,1,1,2,4,1,2,4,1,3,2,4,4,2,3,5,4,4,2,3,1,1,3,4,2,,,9,2,,1,1,1,3,75211,1971,3,,1,distal
2,3/14/23 8:15,100,854,1,1,5,6,6,6,7,6,6,7,7,5,4,4,4,6,6,6,,,,,,,11,12,A devastating description of climate change affecting the earth and an example of acyclone Aida,7,7,7,6,2,4,2,4,1,2,3,5,1,4,3,3,1,4,5,5,2,1,2,3,5,5,5,5,1,4,6,8,2,,1,2,5,3,75765,2017,1,,5,distal
2,3/18/23 11:54,100,854,1,1,5,7,7,7,5,2,5,7,7,7,3,4,5,7,5,4,,,,,,,11,10,They say climate change is causing a lot of trouble I don't think so,3,4,3,2,4,1,1,3,4,5,4,3,2,2,3,3,3,3,3,5,4,3,4,2,2,2,3,3,2,,,9,1,,1,2,1,3,75092,2021,1,,7,distal
2,3/30/23 0:28,100,856,1,1,5,7,7,7,4,6,7,3,7,7,2,2,1,4,6,5,,,,,,,12,12,Climate change is changing our weather for the worst with bigger hurricanes and long periods of heat and severe fire. People are dying from these catastrophic changes.,6,7,7,7,4,5,1,2,4,2,5,5,1,5,1,1,5,4,5,5,1,5,3,1,4,5,5,5,1,5,6,4,2,,1,1,2,3,77905,2016,3,,4,distal
2,3/14/23 16:07,100,876,1,1,5,7,6,6,6,5,7,6,5,6,2,5,4,5,6,5,,,,,,,11,10,"I would only say that the earth has normal cycles. While their is a potential of man created problems exist, for the most part it’s happened due to normal cycles the earth goes through overtime. ",3,5,7,3,4,3,1,4,2,2,4,3,2,2,4,3,1,4,4,5,1,2,3,2,3,2,1,2,1,1,3,8,1,,1,2,2,"1,3",76180,2019,1,,5,distal
0,3/18/23 5:55,100,298,1,1,5,7,6,5,4,7,4,7,7,7,7,5,6,7,4,5,,,,12,12,Reliable and unique ,,,,7,7,7,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,4,4,3,5,5,5,4,5,5,5,1,7,5,6,1,,1,2,5,3,75001,37,4,,1,proximal
0,3/18/23 6:04,100,177,1,1,5,7,5,5,7,7,5,7,7,4,4,5,3,4,5,2,,,,11,10,Na,,,,3,4,4,4,3,3,3,3,3,3,3,4,4,4,2,3,2,3,3,2,3,3,3,3,2,3,2,3,2,,,7,2,,1,2,2,3,76087,2022,3,,3,proximal
2,3/29/23 12:06,100,879,1,1,5,6,5,4,6,5,6,5,6,6,4,5,5,4,5,5,,,,,,,11,11,"Because of climate change, we are experiencing more severe weather that is wrecking havoc ",5,5,4,4,3,1,2,4,1,3,3,3,3,3,4,2,3,3,4,5,2,2,3,3,4,4,4,3,1,4,5,5,2,,2,2,5,3,77049,2011,4,,2,distal
0,3/18/23 6:55,100,440,1,1,5,5,2,4,7,7,6,3,7,6,2,3,5,5,3,3,12,12,No,,,,,,,5,5,4,3,2,1,4,4,1,4,1,3,5,4,3,2,3,5,5,5,1,1,2,4,4,4,4,3,1,5,5,5,2,,4,1,2,3,78209,2012,3,,4,control
0,3/18/23 7:11,100,454,1,1,5,4,5,4,7,6,6,7,7,5,4,5,3,5,4,5,11,11,How would they react to the possible weather possibilities?,,,,,,,4,4,4,4,5,5,5,5,5,5,5,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,10,1,,1,2,5,3,78363,1934,1,,7,control
2,3/17/23 11:25,100,885,1,1,5,4,5,4,5,5,4,6,6,6,4,4,4,4,4,4,,,,,,,9,10,"Extreme weather conditions have occurred throughout history, temperature has only increased 1 degree in he past 100 years, so I believe there is more politics than weather changes",3,3,2,2,1,1,1,1,2,2,1,1,3,2,1,4,4,3,3,5,3,4,4,3,3,3,2,2,2,,,10,1,,1,2,6,3,75206,1994,1,,6,distal
0,3/18/23 8:44,100,222,1,1,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,12,12,I would advise to my friends or family how introverted the world of storms can become upon Mother Nature. ,,,,7,7,7,7,1,2,3,3,3,2,4,4,2,1,2,1,4,2,3,2,2,2,2,4,2,2,3,3,2,,,5,1,,1,2,6,3,77047,2018,2,,1,proximal
2,3/19/23 11:26,100,896,1,1,5,6,6,7,7,6,7,7,7,7,7,4,4,5,6,6,,,,,,,12,11,That climate change is effectively causing harm to the planet and people.,7,6,3,6,3,3,5,5,1,2,5,3,2,5,4,2,2,4,5,5,2,2,2,2,4,4,5,4,2,,,7,2,,2,2,3,3,78220,1971,4,,1,distal
0,3/27/23 13:15,100,265,1,1,5,7,4,7,7,4,5,4,4,4,4,4,4,4,4,4,,,,,,,10,10,I really don't know and really don't care ,4,7,4,4,3,3,3,3,3,3,3,3,3,3,3,1,1,5,5,5,1,1,1,5,3,3,3,3,1,4,6,6,1,,1,2,3,3,77520,2023,5,Anarchist ,4,distal
0,3/18/23 9:41,100,227,1,1,5,5,5,5,6,4,6,5,6,4,4,4,5,6,5,5,,,,11,10,I would say it's very informative and to get a better understand that you would needed to reach it need to read it yourself it's the best way to explain it,,,,5,4,5,4,4,3,3,4,3,4,3,3,4,3,3,4,4,3,3,4,3,4,4,4,3,3,4,4,2,,,5,1,,2,2,4,3,77047,2014,3,,5,proximal
0,3/18/23 10:05,100,314,1,1,5,5,5,4,4,5,4,2,4,4,4,3,3,1,5,4,,,,8,8,I don’t know those words,,,,7,7,7,7,3,3,4,2,1,4,5,2,4,3,3,4,3,3,2,2,5,2,5,2,4,3,3,4,2,,,5,2,,1,1,2,2,78653,2022,1,,3,proximal
0,3/27/23 13:35,100,471,1,1,5,3,4,4,3,2,3,5,3,3,3,4,4,1,4,4,,,,,,,10,11,"It’s something that will definitely sound like it’s to good to be true, and that’s because it is ",6,7,7,5,3,3,3,4,4,2,4,3,2,3,3,2,3,1,5,5,1,3,2,3,5,3,3,3,1,4,4,6,2,,1,2,4,3,77532,1995,3,,4,distal
2,3/18/23 14:08,100,900,1,1,5,5,4,3,7,5,5,4,7,7,5,5,7,5,6,4,,,,,,,12,12,Climate change is causing more severe weather ,4,7,3,5,4,2,2,4,3,3,2,4,2,4,3,4,2,4,5,5,3,3,2,4,4,3,4,4,2,,,4,2,,1,2,2,3,75751,2022,1,,4,distal
0,3/27/23 17:22,100,378,1,1,5,3,4,7,4,4,3,7,7,4,5,4,6,3,5,5,,,,,,,11,10,I have no idea,2,4,4,4,3,3,4,4,2,3,2,3,2,3,3,4,2,4,3,5,3,3,4,2,3,2,2,3,2,,,4,5,,2,2,5,3,76542,2015,5,,5,distal
0,3/27/23 17:48,100,408,1,1,5,7,6,7,7,7,5,5,5,7,7,7,7,7,7,7,,,,,,,12,10,"The picture was very captivating, and I remembered that the colors were very bright on the picture. Also, the objects were very shape.",7,4,7,7,3,5,3,3,5,3,5,5,3,5,5,3,3,5,5,5,3,3,5,5,5,5,3,3,1,7,4,5,2,,2,2,2,3,76017,76017,3,,1,distal
2,4/1/23 17:07,100,907,1,1,5,6,2,2,7,6,4,7,7,7,2,4,2,3,2,4,,,,,,,12,10,Because  ends times are coming we are seeing larger and more intense weather events.  This is because climate change happens in cycles but it can not be predicted any more than the people of Noah's time believed a flood was impending. ,2,4,6,4,3,5,1,1,1,1,4,2,4,1,4,4,3,4,4,5,4,2,3,3,2,2,3,3,2,,,9,1,,1,2,5,3,75080,2003,1,,5,distal
2,3/19/23 11:05,100,916,1,1,5,5,5,5,7,5,5,6,6,6,6,5,5,6,1,6,,,,,,,9,11,"We all should be more interested in re-cycling, and respectful toward envorimental prutection.",6,7,6,6,4,3,3,3,3,4,2,4,4,4,4,2,3,4,4,5,2,3,2,4,4,4,4,4,2,,,10,1,,1,2,5,3,76049,1987,4,,4,distal
2,3/14/23 10:46,100,920,1,1,5,5,3,5,3,3,6,7,5,5,7,7,2,6,6,4,,,,,,,12,12,"Hurricane Idai hit the continent of Africa and caused extreme distraction and loss of life. Researches, in the field, believe this and other major changes in weather occurred because of Climate change.",4,5,5,3,5,2,1,4,2,2,1,4,2,3,5,2,2,4,4,5,2,2,2,4,4,4,5,4,2,,,7,2,,1,2,5,3,76017,2002,1,,6,distal
2,3/17/23 11:16,100,941,1,1,5,6,4,4,5,3,6,7,7,7,6,5,3,3,4,6,,,,,,,11,9,Hogwash made up by some committee that makes up their own stuff. Climate is always changing. Asphalt has as much to do with heat as anything. Why do you think it is always hotter in a city than in the country. ,3,4,3,1,2,3,4,4,3,2,2,1,2,1,1,3,3,3,3,5,3,3,3,3,3,3,2,3,2,,,8,1,,1,2,6,3,75057,2018,3,,6,distal
0,3/27/23 21:25,100,676,1,1,5,7,7,7,6,6,7,6,5,5,3,5,4,4,4,7,,,,,,,12,12,No comment.,7,7,7,7,3,2,3,4,2,2,1,5,5,5,3,1,1,5,5,5,1,1,4,5,4,4,5,5,2,,,6,2,,4,2,4,3,76137,1991,3,,3,distal
2,3/27/23 23:57,100,952,1,1,5,7,6,4,7,6,7,7,7,7,7,6,6,7,6,6,,,,,,,12,11,Due to the worlds climate changes and all the different types of weather variations that linger longer then usual it is causing bar,5,6,6,5,3,3,5,4,4,2,4,3,4,4,2,3,3,3,4,5,3,2,3,2,5,4,3,3,2,,,4,2,,1,2,1,3,78751,2019,3,,4,distal
2,3/14/23 8:35,100,958,1,1,5,6,4,5,6,5,6,7,7,5,3,6,5,5,6,5,,,,,,,12,11,Climate change is causing more severe weather.,4,6,5,4,5,1,1,5,5,5,1,2,2,2,4,2,2,4,4,5,2,2,2,4,4,4,4,4,1,3,4,6,1,,2,2,2,3,77504,2005,3,,4,distal
0,3/18/23 13:23,100,209,1,1,5,6,6,6,5,5,6,6,4,6,5,5,6,6,5,5,10,10,Not relevant some good information of budgeting process and they need to ,,,,,,,5,7,5,5,3,3,4,2,3,3,2,3,3,4,4,4,4,3,2,3,4,4,4,4,3,3,4,4,2,,,8,2,,1,1,4,1,78222,78222,3,,4,control
2,3/27/23 12:54,100,982,1,1,5,7,5,6,7,1,7,7,7,7,6,5,1,4,5,5,,,,,,,11,11,When severe weather hit the African continent it affected millions of people destroying a lot of personal belongings.,7,7,5,7,4,2,2,4,5,4,2,4,4,4,4,1,1,4,5,5,1,1,3,4,5,5,4,4,1,4,5,6,2,,1,2,3,3,79602,2020,1,,4,distal
2,3/27/23 11:10,100,983,1,1,5,5,6,6,7,5,4,7,7,6,6,7,6,6,6,6,,,,,,,11,9,They say climate change is causing abnormal weather patterns throughout the world. I personally do not think this is due to anything we have done or anything we can control. I think the earth goes through natural changes and there’s nothing we can do about it.,4,4,5,3,4,3,2,2,4,4,4,3,3,3,3,2,2,4,4,5,2,2,2,3,2,2,2,2,1,5,5,6,2,,1,1,4,3,77379,2019,1,,6,distal
1,3/28/23 9:49,100,597,1,1,5,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,,,,,,,12,12,It's terrible ,5,7,7,5,4,1,4,1,5,4,4,3,3,3,3,3,2,3,3,5,3,3,3,3,4,3,3,3,2,,,7,2,,1,2,2,3,76837,2004,4,,3,distal
0,3/29/23 7:36,100,363,1,1,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,,,,,,,10,10,Long,5,5,5,5,3,4,3,4,3,3,4,4,1,4,4,3,1,4,5,5,1,1,3,3,5,5,4,5,2,,,6,1,,1,2,5,3,79601,2000,1,,4,distal
0,3/18/23 14:01,100,256,1,1,5,5,4,5,5,5,5,6,6,4,4,6,5,6,5,6,,,,11,12,This article is about hurricane Imelda. ,,,,5,5,5,5,4,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,2,,,6,2,,1,2,4,3,75050,1987,1,,5,proximal
0,3/18/23 14:10,100,358,1,1,5,5,4,6,4,5,6,5,5,5,5,5,5,5,3,5,11,11,The information here is creditable you could  use it to find what you need,,,,,,,3,4,4,4,3,3,2,4,3,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,,,7,2,,2,2,3,3,76134,2000,4,,4,control
2,3/14/23 19:20,100,1005,1,1,5,2,1,2,1,1,2,1,1,2,2,4,3,2,2,2,,,,,,,11,10,I hope climit change dot get to bad,1,7,3,4,4,2,1,4,2,3,3,3,1,3,3,3,3,3,4,5,3,3,3,2,2,2,3,3,2,,,7,2,,1,2,1,3,75143,1980,1,,4,distal
0,3/18/23 14:31,100,194,1,1,5,6,6,6,6,6,6,6,6,6,6,6,3,5,6,6,,,,11,9,Just take it as is and read it and take your own opinion from it,,,,3,6,4,5,5,3,1,1,4,4,4,2,2,4,4,4,3,3,4,4,3,4,3,4,4,5,3,4,1,3,2,10,2,,1,2,4,3,75061,1991,4,,4,proximal
0,3/29/23 20:00,100,149,1,1,5,7,6,7,7,7,7,6,7,5,6,6,6,7,6,6,,,,,,,9,11,Its great,6,5,5,6,4,4,4,5,1,4,4,4,4,4,5,4,3,4,4,5,4,5,4,5,4,5,4,4,2,,,5,1,,1,1,2,3,75051,1988,3,,4,distal
0,3/18/23 14:11,100,3322,1,1,5,6,5,6,4,5,6,6,7,5,6,6,6,5,5,6,,,,,,,12,11,Nothing ,5,4,4,4,3,3,4,3,2,3,4,4,3,4,3,4,3,4,4,3,3,4,3,1,3,2,2,3,2,,,7,2,,6,1,2,3,79762,2017,3,,4,distal
2,3/18/23 9:12,100,1017,1,1,5,4,4,5,7,6,7,6,7,6,3,2,7,5,5,6,,,,,,,10,10,Climate change has a significant indirect impact on weather and economic  conditions.,3,6,4,3,3,1,2,4,2,3,4,5,1,5,4,4,3,3,4,5,3,3,3,2,4,4,4,4,2,,,8,2,,2,2,6,3,75235,2001,4,,2,distal
2,4/2/23 21:14,100,1024,1,1,5,7,6,7,7,7,7,7,7,7,3,6,5,2,6,7,,,,,,,11,10,"I would say I read that climate change caused bad, deadly weather in other parts of the world...",4,4,4,3,4,5,2,4,4,4,4,2,2,2,2,2,3,2,4,5,3,3,3,2,4,4,4,4,2,,,9,2,,1,2,3,3,75701,1999,1,,7,distal
2,4/2/23 21:22,100,1061,1,1,5,7,7,7,7,7,7,7,7,6,6,6,5,6,6,6,,,,,,,12,12,It is imperative to get people to understand climate change is real.,7,7,7,7,2,2,3,4,4,5,3,5,5,5,4,1,1,5,5,5,5,1,1,5,5,5,4,5,2,,,10,2,,1,2,3,3,75409,1947,3,,4,distal
